epoch,critic_loss,actor_loss,sub_loss,mean_reward,mean_alpha,val_HR@10,val_NDCG@10
1,0.338405627940001,-4.224743981001728,0.03124734847597889,0.3787400000000001,0.9254334589242935,0.11441376468164022,0.07115294858421653
2,0.27743439516425134,-3.346655835136771,0.013912976749707014,0.3755800000000001,0.9223423301577568,0.0,0.0
3,0.3051020256280899,-3.1725066404268145,0.010324303932953626,0.3712600000000001,0.9328596823215485,0.0,0.0
4,0.35292827793955805,-3.0640760675258933,0.008590582871809601,0.36912000000000006,0.9263532196283341,0.0,0.0
5,0.3402092611938715,-2.462094580940902,0.008327487659640611,0.37802000000000013,0.9143374116420746,0.11534102616937976,0.07117808063537838
6,0.2986491497308016,-2.2165209408178925,0.0073145497632212935,0.33362000000000014,0.9261673820614815,0.0,0.0
7,0.2823567471206188,-2.0092225731909275,0.006527187408413738,0.3672,0.9242311211824417,0.0,0.0
8,0.25938909269869326,-2.0850600374266506,0.00639485515281558,0.3616400000000001,0.9176095025539398,0.0,0.0
9,0.2553232070654631,-2.259892572671175,0.006727818529587239,0.35680000000000006,0.9232284297347069,0.0,0.0
10,0.24789546404778956,-2.1893352936543526,0.006305935020092875,0.3627000000000001,0.9118675409257412,0.11631980218421595,0.07163274377114087
11,0.2660178895443678,-2.0439317137002946,0.006417575133033097,0.3766600000000001,0.915437627106905,0.0,0.0
12,0.27927646692097186,-2.0775456294119357,0.006442205180414021,0.3963400000000001,0.9155411804318428,0.0,0.0
13,0.2595866400450468,-1.8139659619145094,0.0065905735529959205,0.3670000000000001,0.910230084180832,0.0,0.0
14,0.2756481986641884,-1.6700760526582599,0.006580141649581492,0.3521000000000001,0.9200322527289391,0.0,0.0
15,0.27442825673520566,-1.920863644912839,0.0062923106011003255,0.3939000000000001,0.9040871322751045,0.11652586029260252,0.07180864303600162
16,0.2818050766736269,-1.6961651943288742,0.006336614847183227,0.35546000000000005,0.916307661384344,0.0,0.0
17,0.27130482864379885,-1.7222543859183788,0.006448980381246656,0.4143400000000001,0.9183252963423729,0.0,0.0
18,0.25268229515850543,-1.7269641277454792,0.006402750409208238,0.37446000000000007,0.9097441200017929,0.0,0.0
19,0.2881259637773037,-1.6461774026677012,0.006481393244117498,0.3672800000000001,0.9153150395751,0.0,0.0
20,0.27845810827612877,-1.860570553690195,0.006538569681346416,0.37046,0.9197982229590416,0.11714403461776221,0.07205549564991214
21,0.2879855082631111,-1.8039291899986565,0.006616723444312811,0.41546000000000016,0.9223732036352158,0.0,0.0
22,0.28754384610056877,-1.7557166391536594,0.006573287489823997,0.3653200000000001,0.9195200364589691,0.0,0.0
23,0.2885684380829334,-1.7818207480497659,0.006636389602907002,0.3504000000000001,0.9196277272701263,0.0,0.0
