epoch,critic_loss,actor_loss,sub_loss,mean_reward,mean_alpha,val_HR@10,val_NDCG@10
1,0.17462645782463587,-3.1594270629081516,0.04585373638791523,0.2716800000000001,0.8207310653403401,0.051519748300466316,0.031678011115861694
2,0.14847642719745635,-2.46616765582934,0.05047479306999594,0.2624000000000001,0.7592259163036943,0.0,0.0
3,0.12358177243918181,-2.3626520460918545,0.02860657650511712,0.20892000000000005,0.7386994955223054,0.0,0.0
4,0.12252628782764077,-2.2695357093289497,0.023512008412275465,0.23338000000000006,0.6992358448593877,0.0,0.0
5,0.10418212518468499,-2.1332471487559377,0.020537667696364222,0.24480000000000007,0.7228113055630238,0.05396370582617001,0.03263460521926109
6,0.11164473284035921,-2.1240423730127516,0.01911813951842487,0.26684,0.6911749999525492,0.0,0.0
7,0.11165316737443208,-2.08991697717458,0.01804070944013074,0.20820000000000005,0.6980165631924756,0.0,0.0
8,0.10245581107586622,-1.937644344938919,0.018793582959100604,0.23250000000000007,0.6806109496541322,0.0,0.0
9,0.10697152622789144,-1.5995756714232265,0.02104154751775786,0.25432000000000005,0.6847145308871986,0.0,0.0
10,0.11579987022280692,-1.734644921541214,0.019446701631881298,0.25540000000000007,0.7124536627832567,0.05691330973650205,0.03386445591259627
11,0.11813034942001105,-1.6284304237291216,0.019675212481059134,0.22606000000000007,0.681455510767606,0.0,0.0
12,0.11481220451369882,-1.5124800175763666,0.020631118387915193,0.26704000000000006,0.6794043430549209,0.0,0.0
13,0.11244703163951636,-1.5843516119271517,0.019973907554522156,0.23104000000000008,0.7262199718970805,0.0,0.0
14,0.12472611620277166,-1.8659002718105913,0.02062624578922987,0.28092000000000006,0.6815219283951447,0.0,0.0
15,0.1302164996638894,-1.6186143805123865,0.02079715935373679,0.24684000000000006,0.7069944771463633,0.058177425698072924,0.034508211116634276
16,0.1259543861746788,-1.68188029820472,0.021078151882626118,0.2614600000000001,0.6915577639568946,0.0,0.0
17,0.12800260353833437,-1.704130376080051,0.021483637542463838,0.23634000000000008,0.6896943950348068,0.0,0.0
18,0.1279580014795065,-1.9749993248134852,0.02223917072452605,0.2628600000000001,0.699856812659651,0.0,0.0
19,0.1218276624456048,-1.7702291998155415,0.021765130143612622,0.26310000000000006,0.7015269749506843,0.0,0.0
20,0.13239783758670093,-1.7445147762335838,0.022596660352312028,0.2501400000000001,0.6916115431471263,0.05902016967245351,0.03472437315831142
21,0.13091440266370774,-1.6127404720298946,0.02294973719585687,0.25372000000000006,0.678266725814552,0.0,0.0
22,0.1350158245190978,-1.7327626643721015,0.02322018699068576,0.2664400000000001,0.6894735128637404,0.0,0.0
23,0.14105305509269236,-1.8881261712480337,0.025948558972217144,0.25456000000000006,0.6995898791777727,0.0,0.0
24,0.13511139594763516,-1.7565255717933177,0.023973377525806427,0.2678400000000001,0.7105090069629368,0.0,0.0
25,0.14692342191934585,-1.8270614466629922,0.024978514465503393,0.28400000000000003,0.7150798182077706,0.058767346480139336,0.03464103828176278
26,0.13992079236358404,-1.9791290423758328,0.025109958745539188,0.2504800000000001,0.6938719124336203,0.0,0.0
27,0.1425387908294797,-1.6686870945729315,0.02631373542919755,0.2700600000000001,0.7022123058300931,0.0,0.0
28,0.14361957582831383,-1.916083846859634,0.02532148544397205,0.2617400000000001,0.7017804605560959,0.0,0.0
29,0.13845081105828286,-1.807110588092357,0.02601818887516856,0.28796000000000005,0.696864975472854,0.0,0.0
30,0.14680863405019046,-1.8653676423504948,0.026127401297912002,0.2571800000000001,0.6832368321155664,0.059722456317770664,0.03498549426698643
31,0.14483163250237704,-1.6561796976923941,0.025038047743029892,0.2708800000000001,0.7266909207466524,0.0,0.0
32,0.15480768021196126,-1.6635879535377025,0.026365661037154497,0.2690600000000001,0.672939284870401,0.0,0.0
33,0.1423409818485379,-1.5917914988063275,0.027738112442195414,0.2847200000000001,0.678167591190897,0.0,0.0
34,0.14440893259644508,-1.7009608252681792,0.02759338013920933,0.2598800000000001,0.673259806982358,0.0,0.0
35,0.14409545750170946,-1.5451588146910071,0.027986186853609978,0.24750000000000008,0.690592285452527,0.059469633125456486,0.03490620308363087
36,0.13471824884414674,-1.2497717352472246,0.028636458841152488,0.27676000000000006,0.7088683781973086,0.0,0.0
37,0.14112568552047014,-1.5158710839245468,0.027966233066283167,0.2584000000000001,0.7253283738248428,0.0,0.0
38,0.15211849470436573,-1.5661731200665236,0.028361896815709768,0.2740600000000001,0.7186420027274871,0.0,0.0
39,0.141887281678617,-1.271290050778538,0.02771761364117265,0.3040400000000001,0.6615410435769231,0.0,0.0
40,0.15008066006749868,-1.4410049291774631,0.02962634472269565,0.2846400000000001,0.6875470979610109,0.05873925501432665,0.03462978593083357
41,0.13504598236083984,-1.437242243014276,0.02946929429657757,0.19644000000000006,0.6864341510311861,0.0,0.0
42,0.13935785569250583,-1.3517883716393262,0.02862572279665619,0.3130000000000001,0.6654285810844158,0.0,0.0
43,0.13965887738764285,-1.4846849408708513,0.029609900545328856,0.28880000000000006,0.6672821359813097,0.0,0.0
44,0.1312942224368453,-1.338560931444168,0.030033684086985885,0.28198,0.695148904676389,0.0,0.0
45,0.14689124751091004,-1.3891526305302977,0.032100779329426586,0.29534000000000005,0.6847478297534035,0.05887971234339008,0.034594674680212045
46,0.13923949816077946,-1.55198883202672,0.03179265005979687,0.3194000000000001,0.6650070820013352,0.0,0.0
47,0.14190365368127822,-1.569673606391996,0.03342792588658631,0.3096600000000001,0.6990028362856683,0.0,0.0
48,0.13828707879036664,-1.6135263501182198,0.034155954723246396,0.23898000000000008,0.6864535244968137,0.0,0.0
49,0.14464432790130377,-1.4755803177952767,0.03253012544009835,0.23468000000000006,0.6964221394331789,0.0,0.0
50,0.14090877170860766,-1.5701817758753895,0.03249214910808951,0.27010000000000006,0.702272782085187,0.05879543794595202,0.034607304897864684
51,0.136223471082747,-1.6129829303100705,0.03406692936550826,0.28994000000000003,0.7204727210613783,0.0,0.0
52,0.13641353972256184,-1.7366336863264442,0.03370600240956992,0.2650600000000001,0.6801796543886885,0.0,0.0
53,0.14522406657040118,-1.431717524088919,0.03471459969691932,0.26216000000000006,0.6907618723104825,0.0,0.0
54,0.14426566089689732,-1.7057187748551368,0.03225517167150974,0.30530000000000007,0.6733523373160578,0.0,0.0
55,0.1450380033105612,-1.6158028018660844,0.0342605381347239,0.29156000000000004,0.6849486322815547,0.05851452328782516,0.034504188195537286
56,0.1374724935144186,-1.5733388717882335,0.03287080234102905,0.27412000000000014,0.6663760475214731,0.0,0.0
57,0.1349109883904457,-1.535501327458769,0.03178284457046539,0.23212000000000005,0.6946152883361392,0.0,0.0
58,0.13186372320353984,-1.4165659108273685,0.033227715762332084,0.19520000000000004,0.7047080015768552,0.0,0.0
59,0.12959182891249657,-1.4685753972269595,0.033712573288939895,0.29894000000000004,0.682176967521671,0.0,0.0
60,0.14301669207960369,-1.29925897321105,0.03235328184999525,0.28068000000000004,0.6743117183511785,0.058598797685263215,0.034548748358752275
61,0.1326964294090867,-1.6843023999258875,0.03398470525816083,0.29070000000000007,0.6805073731909506,0.0,0.0
62,0.13514475305378437,-1.4905618517212569,0.03481980659998953,0.28204000000000007,0.693391400228731,0.0,0.0
63,0.13342457927018403,-1.617362482873723,0.03257847682852298,0.26516000000000006,0.6630667585569899,0.0,0.0
64,0.13028738605231047,-1.5170876377262175,0.03468935545627028,0.24480000000000007,0.6523307659987914,0.0,0.0
65,0.12482140222936869,-1.5071603873819113,0.03396270022261888,0.27612000000000014,0.6502479913353182,0.05896398674082814,0.03469538419902091
66,0.1331514947041869,-1.478679439075291,0.030865029707551003,0.2564200000000001,0.6597790562143928,0.0,0.0
67,0.13168565421551465,-1.5111091773044318,0.03314243708085269,0.30144000000000004,0.6643136893203482,0.0,0.0
68,0.122624884493649,-1.451412787295878,0.03378978345543146,0.28842000000000007,0.6584870697499864,0.0,0.0
69,0.13158640369027852,-1.3157753784395754,0.033022403489798305,0.24066000000000004,0.6997536938398408,0.0,0.0
70,0.13547913985699414,-1.3455855259038507,0.032789780374616384,0.27044000000000007,0.6925592926802928,0.058598797685263215,0.03454840253824541
71,0.13127632496505975,-1.423857845220715,0.033337588840164245,0.2643800000000001,0.6561706115661109,0.0,0.0
72,0.13242776696383954,-1.4660480901636184,0.03292276536580175,0.2457600000000001,0.6819456479364017,0.0,0.0
73,0.12719394794106484,-1.4782948685158044,0.032154289941303434,0.26060000000000005,0.6840543152025784,0.0,0.0
74,0.1298083156272769,-1.5011950367316604,0.03404976826813072,0.21526000000000003,0.6507368742261896,0.0,0.0
