epoch,critic_loss,actor_loss,sub_loss,mean_reward,mean_alpha,val_HR@10,val_NDCG@10
1,0.2563633096021122,-4.0240710815792085,0.05414285048691512,0.27908000000000005,0.9154827183485031,0.3087748344370861,0.17350908489147898
2,0.3999747767150402,-3.2306707266233863,0.016459437379147856,0.23576000000000005,0.9102968358993531,0.0,0.0
3,0.33796297331154346,-3.3376680889353154,0.019660514872521163,0.21848000000000006,0.8745878829956054,0.0,0.0
4,0.36580270594358444,-3.030613581251353,0.018776052002329378,0.2378200000000001,0.8732215884327889,0.0,0.0
5,0.4228204002827406,-2.541716153588146,0.013738957220222801,0.25550000000000006,0.862828833013773,0.30629139072847683,0.17272616772610339
6,0.4369234551489353,-2.3693554296903314,0.011640537069179118,0.24632000000000004,0.8542568936347962,0.0,0.0
7,0.3445767835378647,-2.8369832254871725,0.010489612474571914,0.22070000000000004,0.8699469908475875,0.0,0.0
8,0.30143050114810466,-3.1210771490484475,0.010636335886549204,0.2976600000000001,0.8706077102124691,0.0,0.0
9,0.32039428189396857,-2.811397145561874,0.009981362075079232,0.2539200000000001,0.843242635846138,0.0,0.0
10,0.3274392960369587,-2.7347258397080005,0.010324219616129995,0.24100000000000002,0.8548488450944424,0.3120860927152318,0.17503704504808806
11,0.3170312207043171,-2.7795824267528952,0.009859040877781809,0.2576400000000001,0.8420834842026234,0.0,0.0
12,0.3407917774617672,-2.7458391111828386,0.009672424311283977,0.2804000000000001,0.8423990805186331,0.0,0.0
13,0.310914441049099,-2.5979115239866077,0.009877037676982581,0.24024000000000004,0.8472491517364978,0.0,0.0
14,0.3438598023951054,-2.7816984408274292,0.009953037835657597,0.21846000000000004,0.8440814212374389,0.0,0.0
15,0.33673160620033743,-2.7834391799345615,0.009912918787449598,0.19064000000000003,0.8549653902202845,0.3134105960264901,0.17564872094059808
16,0.32068119664490224,-2.693309215053916,0.009710532770492136,0.26204000000000005,0.8447081913016736,0.0,0.0
17,0.31073358307778837,-2.618264057897031,0.00967800216889009,0.25922,0.8400853368192911,0.0,0.0
18,0.30021226599812506,-2.7790884620957077,0.010012474248185754,0.23160000000000008,0.8508960552811623,0.0,0.0
19,0.32786705991625786,-2.7331986902169882,0.009987170485779642,0.26796000000000003,0.8513785446435214,0.0,0.0
